,artist_name,track_name,track_id,popularity,artist_id,artists_id,artists_names,year,genre
545,Dr. Fresch,Gangsta Gangsta (feat. Baby Eazy-E),5w6rgrtYFhC6NkUknX1exC,64,1htHgbGwgCWJBfGiQwcRqC,"['1htHgbGwgCWJBfGiQwcRqC', '4NyEOTt3m81ufeECwdoTn7']","['Dr. Fresch', 'Baby Eazy E']",2016,edm
546,Good Times Ahead,Feel It (feat. Tunji Ige),3Vad9kkHv0DZZ0ioJdRrYV,56,6M7RdR9ZP52h2mfNLmiHtU,"['6M7RdR9ZP52h2mfNLmiHtU', '4AA8eXtzqh5ykxtafLaPOi', '5fW1JQP4DfDyNqvYQ5m4Ju']","['Good Times Ahead', 'What So Not', 'Tunji Ige']",2016,edm
547,MK,Piece Of Me,5xCKDXzh2JPFFcyHr39ROH,53,1yqxFtPHKcGcv6SXZNdyT9,"['1yqxFtPHKcGcv6SXZNdyT9', '4EPJlUEBy49EX1wuFOvtjK']","['MK', 'Becky Hill']",2016,edm
548,Star Party,Ark,2hjqFVoMk6ssbfgtHEyhsY,62,2VXRxdCCHHajU61ohOXnO1,"['2VXRxdCCHHajU61ohOXnO1', '1frSJ3BwjRHE9jgMRQV5wC']","['Star Party', 'Zookeepers']",2016,edm
549,Cash Cash,How to Love (feat. Sofia Reyes),1lWoanAmIk1PZisbP5LmwT,51,1LOB7jTeEV14pHai6EXSzF,"['1LOB7jTeEV14pHai6EXSzF', '0haZhu4fFKt0Ag94kZDiz2']","['Cash Cash', 'Sofía Reyes']",2016,edm
562,CNCO,Quisiera,4iPV0gcc8keTFl6qxqP73M,61,0eecdvMrqBftK0M1VKhaF4,['0eecdvMrqBftK0M1VKhaF4'],['CNCO'],2016,reggaeton
563,Alex Zurdo,Te Busco,1JjIFPOdSgr1dQ074iJpyk,58,0WI8OfWCRvK4nGHmKfFQmd,['0WI8OfWCRvK4nGHmKfFQmd'],['Alex Zurdo'],2016,reggaeton
569,El Chombo,Papi Chulo,1f2AyplMMO29MHBkjfFRmc,59,6iSZjc4kOoKZKiBXK5HbwD,['6iSZjc4kOoKZKiBXK5HbwD'],['El Chombo'],2016,reggaeton
570,CNCO,Para Enamorarte,3B21fRFqPLmTd9zAlK0I8A,59,0eecdvMrqBftK0M1VKhaF4,['0eecdvMrqBftK0M1VKhaF4'],['CNCO'],2016,reggaeton
571,Ken-Y,Como Lo Hacia Yo (Official Remix),2d1Bkco7bbFw050xDvZqQ1,57,4DYFVNKZ1uixa6SQTvzQwJ,"['4DYFVNKZ1uixa6SQTvzQwJ', '1SupJlEpv7RS2tPNRaHViT', '1pgDilWYDWLoOgGjf1iHNu', '4SsVbpTthjScTS7U2hmr1X']","['Ken-Y', 'Nicky Jam', 'Zion', 'Arcangel']",2016,reggaeton
575,Yandar & Yostin,Te Pintaron Pajaritos,419w8oZaqevgyZfdvFZEHa,67,3ptY5WTxu77JpAQQnHyxEl,"['3ptY5WTxu77JpAQQnHyxEl', '7hIqJfRYGBWWT1Qxu6Cpd2']","['Yandar & Yostin', 'Andy Rivera']",2016,reggaeton
